price,area,level,market,building,num_of_rooms,city,district,price_per_m2
670000.0,53.0,2,Pierwotny,Apartamentowiec,3 pokoje,Warszawa, Białołęka,12642.0
1050000.0,50.0,5,Wtórny,Blok,2 pokoje,Warszawa, Wola,21000.0
1389000.0,50.2,1,Wtórny,Apartamentowiec,2 pokoje,Warszawa, Ochota,27669.0
1099000.0,39.5,7,Wtórny,Apartamentowiec,2 pokoje,Warszawa, Ochota,27823.0
699000.0,38.5,1,Wtórny,Kamienica,2 pokoje,Warszawa, Bielany,18156.0
1610000.0,64.6,7,Wtórny,Kamienica,2 pokoje,Warszawa, Śródmieście,24923.0
1250000.0,55.0,4,Wtórny,Blok,3 pokoje,Warszawa, Śródmieście,22727.0
680000.0,31.7,4,Wtórny,Blok,1 pokój,Warszawa, Wola,21451.0
859000.0,28.0,>10,Wtórny,Blok,2 pokoje,Warszawa, Śródmieście,30679.0
713000.0,53.2,1,Wtórny,Blok,3 pokoje,Warszawa, Targówek,13402.0
829000.0,44.0,5,Wtórny,Kamienica,2 pokoje,Warszawa, Ochota,18841.0
549999.0,39.0,5,Pierwotny,Blok,2 pokoje,Warszawa, Ursus,14103.0
723940.0,52.0,2,Pierwotny,Apartamentowiec,2 pokoje,Warszawa, Wilanów,13922.0
599000.0,32.45,3,Pierwotny,Apartamentowiec,2 pokoje,Warszawa, Białołęka,18459.0
1429000.0,51.66,7,Wtórny,Apartamentowiec,2 pokoje,Warszawa, Ochota,27662.0
1270000.0,58.0,4,Wtórny,Apartamentowiec,2 pokoje,Warszawa, Ursynów,21897.0
929000.0,38.16,2,Wtórny,Kamienica,2 pokoje,Warszawa, Śródmieście,24345.0
399000.0,18.67,1,Pierwotny,Apartamentowiec,1 pokój,Warszawa, Włochy,21371.0
910000.0,50.0,8,Wtórny,Apartamentowiec,2 pokoje,Warszawa, Śródmieście,18200.0
660000.0,38.0,3,Wtórny,Kamienica,1 pokój,Warszawa, Mokotów,17368.0
565000.0,31.2,3,Wtórny,Blok,1 pokój,Warszawa, Mokotów,18109.0
549000.0,30.5,1,Wtórny,Blok,1 pokój,Warszawa, Praga-Południe,18000.0
622167.0,39.0,3,Wtórny,Blok,2 pokoje,Warszawa, Białołęka,15953.0
1350000.0,73.0,0,Wtórny,Apartamentowiec,3 pokoje,Warszawa, Wilanów,18493.0
